Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-08-23 12:02:55.689 +0100,"Failure",0:00:00,1,0,0,"20170823_120255.689/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 12:14:41.036 +0100,"Failure",0:00:00,1,0,0,"20170823_121441.036/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 12:28:33.596 +0100,"Failure",0:00:00,1,0,0,"20170823_122833.596/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:04:26.693 +0100,"Failure",0:00:00,1,0,0,"20170823_130426.693/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:10:50.167 +0100,"Failure",0:00:00,1,0,0,"20170823_131050.167/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:13:28.599 +0100,"Failure",0:00:00,1,0,0,"20170823_131328.599/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:16:13.672 +0100,"Failure",0:00:00,1,0,0,"20170823_131613.672/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:17:44.904 +0100,"Failure",0:00:00,1,0,0,"20170823_131744.904/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:18:51.106 +0100,"Failure",0:00:00,1,0,0,"20170823_131851.106/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:20:20.815 +0100,"Failure",0:00:00,1,0,0,"20170823_132020.815/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:24:58.177 +0100,"Failure",0:00:00,1,0,0,"20170823_132458.177/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:32:25.122 +0100,"Failure",0:00:00,1,0,0,"20170823_133225.122/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:33:58.064 +0100,"Failure",0:00:00,1,0,0,"20170823_133358.064/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:35:04.314 +0100,"Failure",0:00:00,1,0,0,"20170823_133504.314/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:37:37.239 +0100,"Failure",0:00:00,1,0,0,"20170823_133737.239/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:38:37.094 +0100,"Failure",0:00:00,1,0,0,"20170823_133837.094/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:38:54.570 +0100,"Failure",0:00:00,1,0,0,"20170823_133854.570/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:55:55.442 +0100,"Failure",0:00:00,1,0,0,"20170823_135555.442/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 13:56:54.257 +0100,"Failure",0:00:00,1,0,0,"20170823_135654.257/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:03:33.631 +0100,"Failure",0:00:00,1,0,0,"20170823_140333.631/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:04:05.031 +0100,"Failure",0:00:00,1,0,0,"20170823_140405.031/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:04:20.243 +0100,"Failure",0:00:00,1,0,0,"20170823_140420.243/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:05:02.981 +0100,"Failure",0:00:00,1,0,0,"20170823_140502.981/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2017-08-23 14:05:09.569 +0100,"Failure",0:00:00,1,0,0,"20170823_140509.569/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
